Dataset,Class,Accuracy_None,Accuracy_one,Accuracy_1,Accuracy_5,Accuracy_10,Accuracy_25,Accuracy_50,Accuracy_75,Accuracy_90,Accuracy_99
breastmnist,0,59.523809523809526,69.04761904761905,59.523809523809526,73.80952380952381,61.904761904761905,61.904761904761905,59.523809523809526,66.66666666666667,47.61904761904762,0.0
breastmnist,1,92.98245614035088,92.98245614035088,90.35087719298245,86.84210526315789,89.47368421052632,92.10526315789474,90.35087719298245,85.96491228070175,85.08771929824562,100.0
