Dataset,Class,Accuracy_None,Accuracy_one,Accuracy_1,Accuracy_5,Accuracy_10,Accuracy_25,Accuracy_50,Accuracy_75,Accuracy_90,Accuracy_99
breastmnist,0,35.714285714285715,28.571428571428573,11.904761904761905,16.666666666666668,38.095238095238095,19.047619047619047,16.666666666666668,0.0,21.428571428571427,0.0
breastmnist,1,97.36842105263158,98.24561403508773,100.0,100.0,95.6140350877193,98.24561403508773,100.0,100.0,97.36842105263158,100.0
