Dataset,Class,Accuracy_None,Accuracy_one,Accuracy_1,Accuracy_5,Accuracy_10,Accuracy_25,Accuracy_50,Accuracy_75,Accuracy_90,Accuracy_99
retinamnist,0,73.5632183908046,77.58620689655173,75.28735632183908,78.16091954022988,79.88505747126437,72.41379310344827,72.98850574712644,72.98850574712644,81.03448275862068,79.3103448275862
retinamnist,1,17.391304347826086,23.91304347826087,17.391304347826086,17.391304347826086,13.043478260869565,23.91304347826087,26.08695652173913,13.043478260869565,26.08695652173913,0.0
retinamnist,2,23.91304347826087,27.17391304347826,28.26086956521739,22.82608695652174,14.130434782608695,28.26086956521739,20.652173913043477,28.26086956521739,28.26086956521739,67.3913043478261
retinamnist,3,30.88235294117647,20.58823529411765,23.529411764705884,39.705882352941174,42.64705882352941,25.0,36.76470588235294,51.470588235294116,20.58823529411765,0.0
retinamnist,4,10.0,15.0,5.0,25.0,10.0,20.0,5.0,10.0,0.0,0.0
