Dataset,Loader,Overall Accuracy Corrupted,Overall AUC Corrupted
breastmnist_224,Full,73.07692307692308,0.6704344193817878
breastmnist_224,LargeSplit,78.84615384615384,0.797719298245614
breastmnist_224,SmallSplit,73.07692307692308,0.6830994152046784
