Dataset,Class,Accuracy_None,Accuracy_one,Accuracy_1,Accuracy_5,Accuracy_10,Accuracy_25,Accuracy_50,Accuracy_75,Accuracy_90,Accuracy_99
retinamnist,0,81.03448275862068,76.4367816091954,78.16091954022988,78.16091954022988,75.28735632183908,76.4367816091954,80.45977011494253,83.9080459770115,74.13793103448276,80.45977011494253
retinamnist,1,19.565217391304348,32.608695652173914,15.217391304347826,23.91304347826087,13.043478260869565,28.26086956521739,10.869565217391305,15.217391304347826,2.1739130434782608,0.0
retinamnist,2,15.217391304347826,26.08695652173913,13.043478260869565,20.652173913043477,28.26086956521739,17.391304347826086,8.695652173913043,13.043478260869565,35.869565217391305,55.43478260869565
retinamnist,3,45.588235294117645,25.0,33.8235294117647,29.41176470588235,36.76470588235294,45.588235294117645,45.588235294117645,44.11764705882353,72.05882352941177,35.294117647058826
retinamnist,4,20.0,5.0,10.0,10.0,15.0,10.0,5.0,5.0,5.0,0.0
